scenario,year,ensemble_mean,sd,n_models
ssp126,2094,15.6765859375,0.7094222498148939,32
ssp126,2095,15.659802083333334,0.741127481231387,32
ssp126,2096,15.647908854166667,0.7676034346373806,32
ssp126,2097,15.6548203125,0.7514357449658908,32
ssp126,2098,15.669934895833334,0.7190858982088694,32
ssp126,2099,15.6846796875,0.7620469004881699,32
ssp126,2100,15.703861111111111,0.7897140588212113,30
ssp245,2015,14.807593137254901,0.6183829572387385,34
ssp245,2016,14.821237745098038,0.5955535392837046,34
ssp245,2017,14.853857843137256,0.6052287747219525,34
ssp245,2018,14.894884803921569,0.6076937945230413,34
ssp245,2019,14.903683823529413,0.5978117605078007,34
ssp245,2020,14.903117647058824,0.6082312561783351,34
ssp245,2021,14.95510294117647,0.5868144736249558,34
ssp245,2022,15.030955882352941,0.6219215583675561,34
ssp245,2023,15.032688725490196,0.633407094425081,34
ssp245,2024,15.089066176470588,0.5969033127081594,34
ssp245,2025,15.096671568627452,0.5837230508927951,34
ssp245,2026,15.119524509803922,0.5828291491869708,34
ssp245,2027,15.134634803921568,0.6179310723627469,34
ssp245,2028,15.194950980392157,0.658016430604235,34
ssp245,2029,15.244752450980393,0.6354727032702151,34
ssp245,2030,15.20281862745098,0.5833347606297791,34
ssp245,2031,15.240257352941176,0.5779821490607198,34
ssp245,2032,15.280485294117646,0.6045010271128995,34
ssp245,2033,15.29896568627451,0.6450615639966554,34
ssp245,2034,15.339264705882353,0.6315960797393908,34
ssp245,2035,15.351301470588234,0.631259279364642,34
ssp245,2036,15.373107843137255,0.5864143380718254,34
ssp245,2037,15.431419117647058,0.5948505037715318,34
ssp245,2038,15.463720588235294,0.6410477356994835,34
ssp245,2039,15.461830882352942,0.6348956197798942,34
ssp245,2040,15.488450980392157,0.6158676307468215,34
ssp245,2041,15.500928921568628,0.6057176070580648,34
ssp245,2042,15.519289215686275,0.6577096352681924,34
ssp245,2043,15.554436274509804,0.6659153920493142,34
ssp245,2044,15.596075980392158,0.6664217029010195,34
ssp245,2045,15.601664215686274,0.6322561005790296,34
ssp245,2046,15.682718137254902,0.6501655092360169,34
ssp245,2047,15.709303921568628,0.6501686520009721,34
ssp245,2048,15.762286764705882,0.6617516159851162,34
ssp245,2049,15.786997549019608,0.649976298287531,34
ssp245,2050,15.77543137254902,0.6211401138414544,34
ssp245,2051,15.807678921568627,0.6626559546228484,34
ssp245,2052,15.840953431372549,0.6556406366606106,34
ssp245,2053,15.831625,0.6613050439973447,34
ssp245,2054,15.856473039215686,0.6354283907580712,34
ssp245,2055,15.902345588235294,0.6713114781120085,34
ssp245,2056,15.92118137254902,0.7196633985305843,34
ssp245,2057,15.974916666666667,0.7097864411832212,34
ssp245,2058,15.971571078431372,0.6876221480508374,34
ssp245,2059,16.025446078431372,0.7056808696921543,34
ssp245,2060,16.041085784313726,0.6961516780661251,34
ssp245,2061,16.030509803921568,0.6940534827042021,34
ssp245,2062,16.05848529411765,0.6878974570336374,34
ssp245,2063,16.078414215686273,0.6860647735605919,34
ssp245,2064,16.086477941176472,0.7141562665900052,34
ssp245,2065,16.127269607843136,0.7345037182655849,34
ssp245,2066,16.146066176470587,0.7086930408051223,34
ssp245,2067,16.152264705882352,0.6863844614980279,34
ssp245,2068,16.18999754901961,0.6938135442689067,34
ssp245,2069,16.21308088235294,0.7134137638401518,34
ssp245,2070,16.244345588235294,0.7187660922316099,34
ssp245,2071,16.264997549019608,0.7052726424612316,34
ssp245,2072,16.290838235294117,0.6840382921125487,34
ssp245,2073,16.320338235294116,0.716272618337429,34
ssp245,2074,16.298338235294118,0.7272434796400352,34
ssp245,2075,16.284808823529414,0.6995064086275634,34
ssp245,2076,16.341017156862744,0.7180252690150932,34
ssp245,2077,16.40125245098039,0.721681156538374,34
ssp245,2078,16.38947549019608,0.6962892782897064,34
ssp245,2079,16.403737745098038,0.7334344762471698,34
ssp245,2080,16.43166666666667,0.7360062790799532,34
ssp245,2081,16.4335,0.7633149015241935,34
ssp245,2082,16.47183823529412,0.7376867383117082,34
ssp245,2083,16.482779411764707,0.7385588107617784,34
ssp245,2084,16.513590686274508,0.7058040184387557,34
ssp245,2085,16.52455882352941,0.7098858519379995,34
ssp245,2086,16.542571078431372,0.7343806748852598,34
ssp245,2087,16.558056372549018,0.7563168791477216,34
ssp245,2088,16.557928921568628,0.7294221956684749,34
