scenario,year,co2_ppm,ch4_ppb,n2o_ppb,co2_PgC,ch4_co2e_ppm,n2o_co2e_ppm,ch4_PgC_equiv,n2o_PgC_equiv,total_PgC_equiv
ssp245,2047,497.97325388590497,2033.9275716145833,353.99725341796875,1057.6951912536622,60.61104163411458,96.64125018310546,128.73785243085936,205.266015388916,1391.6990590734376
ssp245,2048,501.1177673339844,2029.5738118489583,354.76922607421875,1064.374137817383,60.48129959309896,96.85199871826171,128.4622803357422,205.7136452775879,1398.550063430713
ssp245,2049,504.2593688964844,2024.6875,355.5339660644531,1071.046899536133,60.335687500000006,97.0607727355957,128.15300025000002,206.1570812904053,1405.3569810765384
ssp245,2050,507.40040079752606,2019.3079732259114,356.29198201497394,1077.7184512939455,60.17537760213216,97.26771109008789,127.81250202692871,206.5966183553467,1412.127571676221
ssp245,2051,510.53790283203125,2013.4578552246094,357.0437469482422,1084.3825056152343,60.00104408569336,97.47294291687012,127.4422176380127,207.03253075543216,1418.857254008679
ssp245,2052,513.6565526326498,2007.099589029948,357.7859624226888,1091.0065177917481,59.811567753092454,97.67556774139403,127.03976990756838,207.46290588272095,1425.5091935820374
ssp245,2053,516.744140625,2000.2137756347656,358.5171254475911,1097.5645546875,59.60637051391602,97.87517524719237,126.60393097155763,207.88687222503663,1432.0553578840943
ssp245,2054,519.8012898763021,1992.846435546875,359.23726654052734,1104.0579396972657,59.386823779296876,98.07177376556396,126.13761370722656,208.30444747805785,1438.5000008825502
ssp245,2055,522.8306376139323,1985.0337829589844,359.94655354817706,1110.492274291992,59.154006732177734,98.26540911865234,125.64311029914552,208.7157289680176,1444.8511135591552
ssp245,2056,525.8319091796875,1976.8078002929688,360.64581807454425,1116.8669750976562,58.90887244873047,98.45630833435058,125.12244508110352,209.12119890216064,1451.1106190809203
ssp245,2057,528.8052825927734,1968.2062683105469,361.33392333984375,1123.182420227051,58.652546795654295,98.64416107177735,124.57800939396974,209.5201981164551,1457.2806277374757
ssp245,2058,531.75189208984375,1959.2493693033855,362.0111948649089,1129.4410187988283,58.38563120524089,98.82905619812011,124.01108067993165,209.91291536480713,1463.365014843567
ssp245,2059,534.6724904378256,1949.9799092610676,362.6785659790039,1135.6443696899416,58.109401295979815,99.01124851226805,123.42436835266113,210.29989184005737,1469.3686298826601
ssp245,2060,537.5672963460287,1940.4064331054688,363.33580780029297,1141.792937438965,57.824111706542965,99.19067552947998,122.81841326469727,210.68099482461548,1475.2923455282778
ssp245,2061,540.4351654052734,1930.5836690266926,363.9818979899089,1147.884291320801,57.53139333699544,99.36705815124512,122.19667944777832,211.05563151324463,1481.1366022818238
ssp245,2062,543.2649637858073,1920.8536173502605,364.6156946818034,1153.8947830810546,57.24143779703776,99.54008464813232,121.58081388090821,211.42313979263307,1486.8987367545958
ssp245,2063,546.0493927001953,1911.4345703125,365.23531341552734,1159.808910095215,56.9607501953125,99.70924056243896,120.98463341484376,211.78242695462038,1492.5759704646791
ssp245,2064,548.79010009765625,1902.2778015136719,365.8409957885742,1165.6301726074219,56.687878485107426,99.87459185028077,120.40505390236818,212.13363308999635,1498.1688595997862
ssp245,2065,551.4867604573568,1893.3913269042969,366.4326578776042,1171.3578792114258,56.42306154174805,100.03611560058594,119.84258271467286,212.47670953564455,1503.6771714617435
ssp245,2066,554.1407318115234,1884.7396647135417,367.0103047688802,1176.9949143676758,56.165242008463544,100.19381320190429,119.29497402597657,212.81165924084473,1509.1015476344974
ssp245,2067,556.7525329589844,1876.3161722819011,367.57408396402997,1182.542380004883,55.91422193400065,100.34772492218018,118.76180738781738,213.1385677347107,1514.4427551274111
ssp245,2068,559.3216552734375,1868.102294921875,368.1248321533203,1187.9991958007813,55.66944838867188,100.49807917785644,118.24190837753908,213.4579201737671,1519.6990243520877
ssp245,2069,561.8507334391276,1860.1057942708333,368.66155497233075,1193.370957824707,55.43115266927083,100.6446045074463,117.73576826953125,213.76913997381595,1524.8758660680542
ssp245,2070,564.3382364908854,1852.2854309082031,369.1853993733724,1198.6544143066405,55.198105841064454,100.78761402893065,117.24077680642091,214.0728921974487,1529.96808331051
ssp245,2071,566.7849884033203,1844.6405843098958,369.6947606404622,1203.8513153686524,54.970289412434894,100.92666965484618,116.75689471201173,214.3682463468933,1534.9764564275574
ssp245,2072,569.1639353434244,1837.0770060221355,370.18670654296875,1208.9041986694335,54.74489477945964,101.06097088623046,116.27815651157229,214.6535021623535,1539.8358573433593
ssp245,2073,571.4612935384115,1829.5291748046875,370.6593831380208,1213.783787475586,54.519969409179694,101.19001159667968,115.80041502509768,214.92758463134766,1544.5117871320313
ssp245,2074,573.6791127522787,1822.003153483073,371.11216735839844,1218.49443548584,54.29569397379557,101.31362168884277,115.3240540003418,215.19013246710205,1549.008621953284
ssp245,2075,575.8179423014323,1814.4960123697917,371.54581451416016,1223.0373094482422,54.07198116861979,101.43200736236571,114.84888800214844,215.4415836376648,1553.3277810880554
ssp245,2076,577.8790283203125,1807.0103963216145,371.9585215250651,1227.4150561523438,53.848909810384114,101.54467637634278,114.37508443725586,215.68089262335207,1557.4710332129519
ssp245,2077,579.8632151285807,1799.5557149251301,372.3534673055013,1231.6294689331055,53.62676030476888,101.65249657440185,113.90323888732911,215.90990272402954,1561.442610544464
ssp245,2078,581.77166748046875,1792.1304931640625,372.7281799316406,1235.6830217285158,53.40548869628906,101.7547931213379,113.43325799091798,216.12718058972172,1565.2434603091556
ssp245,2079,583.6049855550131,1784.7358907063801,373.08514912923175,1239.5769893188478,53.18512954305013,101.85224571228026,112.96521514943848,216.3341698928833,1568.8763743611696
ssp245,2080,585.3625691731771,1777.36962890625,373.4217758178711,1243.3100969238283,52.96561494140625,101.94414479827881,112.49896613554688,216.5293635515442,1572.3384266109194
ssp245,2081,587.0452880859375,1770.0584615071614,373.7411193847656,1246.8841918945313,52.74774215291341,102.03132559204101,112.03620433278809,216.71453555749514,1575.6349317848146
ssp245,2082,588.63690185546875,1762.9948120117188,374.0444793701172,1250.2647795410157,52.53724539794922,102.114142868042,111.58910922524414,216.89043945172122,1578.744328217981
ssp245,2083,590.1282196044922,1756.3202107747395,374.3331985473633,1253.4323384399415,52.33834228108724,102.19296320343018,111.16663900502931,217.0578538440857,1581.6568312890565
ssp245,2084,591.5220743815104,1749.9954630533855,374.6091003417969,1256.392885986328,52.14986479899089,102.26828439331055,110.76631283305666,217.21783605139163,1584.3770348707765
ssp245,2085,592.8188018798828,1743.9994201660156,374.87180582682294,1259.1471351928712,51.97118272094727,102.34000299072267,110.38679209929201,217.37016635229494,1586.9040936444583
ssp245,2086,594.0186716715494,1738.3098958333333,375.12053934733075,1261.695658630371,51.80163489583333,102.40790724182129,110.02667251875,217.51439498162844,1589.2367261307495
ssp245,2087,595.12274169921875,1732.9168395996094,375.35634358723956,1264.0407033691406,51.64092182006836,102.4722817993164,109.68531794582519,217.65112654174806,1591.3771478567137
ssp245,2088,596.1318817138672,1727.7795918782551,375.5780029296875,1266.184116760254,51.487831837972,102.53279479980469,109.36015482385254,217.7796561547852,1593.3239277388918
