"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2103,880.053552109,880.053552109,864.445842438,864.445842438,880.053552109,880.053552109,864.445842438,864.445842438,879.415969425,879.415969425,862.715963848,862.715963848,876.067042352,876.067042352,852.839255371,852.839255371
2104,896.325130544,896.325130544,880.299580596,880.299580596,896.325130544,896.325130544,880.299580596,880.299580596,895.635842196,895.635842196,878.423305,878.423305,892.171123445,892.171123445,868.202037959,868.202037959
2105,912.755325901,912.755325901,896.309195225,896.309195225,912.755325901,912.755325901,896.309195225,896.309195225,912.012428511,912.012428511,894.280985208,894.280985208,908.430062687,908.430062687,883.70953809,883.70953809
2106,929.855327298,929.855327298,912.976893224,912.976893224,929.855327298,929.855327298,912.976893224,912.976893224,929.056497351,929.056497351,910.790059487,910.790059487,925.352617271,925.352617271,899.856876166,899.856876166
2107,947.130173084,947.130173084,929.817109308,929.817109308,947.130173084,947.130173084,929.817109308,929.817109308,946.273371248,946.273371248,927.465707255,927.465707255,942.44605095,942.44605095,916.1649628,916.1649628
2108,964.577604123,964.577604123,946.828158836,946.828158836,964.577604123,964.577604123,946.828158836,946.828158836,963.660736818,963.660736818,944.30607516,944.30607516,959.708105937,959.708105937,932.632114441,932.632114441
2109,982.195394383,982.195394383,964.008255256,964.008255256,982.195394383,982.195394383,964.008255256,964.008255256,981.216373061,981.216373061,961.309382841,961.309382841,977.136614567,977.136614567,949.256713814,949.256713814
2110,999.981363172,999.981363172,981.355549797,981.355549797,999.981363172,999.981363172,981.355549797,981.355549797,998.93815354,998.93815354,978.473932975,978.473932975,994.729501744,994.729501744,966.037220805,966.037220805
2111,1018.49494989,1018.49494989,999.419277249,999.419277249,1018.49494989,1018.49494989,999.419277249,999.419277249,1017.38493828,1017.38493828,996.347354764,996.347354764,1013.04326695,1013.04326695,983.514291833,983.514291833
2112,1037.19181939,1037.19181939,1017.66579715,1017.66579715,1037.19181939,1037.19181939,1017.66579715,1017.66579715,1036.01282013,1036.01282013,1014.39715569,1014.39715569,1031.53629273,1031.53629273,1001.1622041,1001.1622041
2113,1056.06955443,1056.06955443,1036.09333865,1036.09333865,1056.06955443,1056.06955443,1036.09333865,1036.09333865,1054.81931888,1054.81931888,1032.62136777,1032.62136777,1050.20615525,1050.20615525,1018.97916291,1018.97916291
2114,1075.12577106,1075.12577106,1054.70001442,1054.70001442,1075.12577106,1075.12577106,1054.70001442,1054.70001442,1073.80206404,1073.80206404,1051.01813197,1051.01813197,1069.05053823,1069.05053823,1036.96347624,1036.96347624
2115,1094.35813216,1094.35813216,1073.48386495,1073.48386495,1094.35813216,1094.35813216,1073.48386495,1073.48386495,1092.95879499,1092.95879499,1069.58570312,1069.58570312,1088.06723365,1088.06723365,1055.11356117,1055.11356117
2116,1114.37522309,1114.37522309,1093.04216659,1093.04216659,1114.37522309,1114.37522309,1093.04216659,1093.04216659,1112.89734255,1112.89734255,1088.91925018,1088.91925018,1107.86135054,1107.86135054,1074.01653796,1074.01653796
2117,1134.57913148,1134.57913148,1112.78914021,1112.78914021,1134.57913148,1134.57913148,1112.78914021,1112.78914021,1133.02040125,1133.02040125,1108.43464673,1108.43464673,1127.83826051,1127.83826051,1093.09620566,1093.09620566
2118,1154.96739838,1154.96739838,1132.72311497,1132.72311497,1154.96739838,1154.96739838,1132.72311497,1132.72311497,1153.32544259,1153.32544259,1128.13000164,1128.13000164,1147.99549535,1147.99549535,1112.35085963,1112.35085963
2119,1175.53758698,1175.53758698,1152.84226146,1152.84226146,1175.53758698,1175.53758698,1152.84226146,1152.84226146,1173.81005697,1173.81005697,1148.00355106,1148.00355106,1168.33070477,1168.33070477,1131.77891958,1131.77891958
2120,1196.28729902,1196.28729902,1173.14464563,1173.14464563,1196.28729902,1196.28729902,1173.14464563,1173.14464563,1194.47195283,1194.47195283,1168.05366108,1168.05366108,1188.84165617,1188.84165617,1151.37893431,1151.37893431
